8-12-12 09:49:23 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:49:28 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:49:33 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:49:38 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:49:43 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:49:48 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:49:53 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:49:58 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:50:03 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:50:08 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:50:13 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:50:19 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:50:24 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:50:29 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:50:34 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:50:39 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:50:44 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:50:50 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:50:55 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:51:00 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:51:05 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:51:10 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:51:16 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:51:21 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:51:26 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:51:31 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:51:36 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:51:41 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:51:46 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:51:52 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:51:57 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:52:02 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:52:07 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:52:12 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:52:18 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:52:23 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:52:28 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:52:33 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:52:39 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:52:44 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:52:49 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:52:54 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:52:59 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:53:04 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:53:10 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:53:15 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:53:20 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:53:25 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
